Delegacia;Furtos na região;Roubo de carga;Roubos;Roubo de Veiculo;Furto de veiculo;Latrocinios;Homicídio doloso por acidente de trânsito;Homicídio Culposo por acidente de Trânsito;Homicídio Culposo;Tentativa de Homicídio;Lesão Corporal seguida de morte;Lesão Corporal Dolosa;Lesão Corporal Culposa por acidente de trânsito;Lesão Corporal Culposa;Estupro;Estupro de vulnerável;Roubo de veiculos;Roubo a Banco ;Ano
001 DP - Sé;8442,00;53,00;3201,00;0,00;118,00;14,00;0,00;4,00;1,00;9,00;1,00;334,00;106,00;9,00;16,00;7,00;20,00;0,00;2020
001 DP - Sé;12997,00;152,00;3404,00;2,00;142,00;15,00;0,00;11,00;0,00;15,00;1,00;444,00;142,00;13,00;10,00;8,00;25,00;0,00;2019
002 DP - Bom Retiro;3744,00;7,00;970,00;1,00;105,00;4,00;0,00;0,00;0,00;1,00;0,00;122,00;78,00;6,00;4,00;6,00;16,00;0,00;2020
002 DP - Bom Retiro;4863,00;14,00;1063,00;1,00;97,00;3,00;0,00;2,00;0,00;2,00;0,00;177,00;85,00;7,00;8,00;5,00;19,00;0,00;2019
003 DP - Campos Elísios;8355,00;10,00;4403,00;1,00;98,00;5,00;0,00;0,00;0,00;10,00;0,00;295,00;90,00;9,00;7,00;8,00;18,00;1,00;2020
003 DP - Campos Elísios;13098,00;20,00;4958,00;0,00;150,00;7,00;0,00;1,00;0,00;10,00;0,00;430,00;128,00;5,00;10,00;13,00;20,00;0,00;2019
004 DP - Consolação;4286,00;4,00;1649,00;0,00;170,00;2,00;0,00;3,00;0,00;5,00;0,00;158,00;49,00;3,00;5,00;2,00;9,00;0,00;2020
004 DP - Consolação;6535,00;2,00;2691,00;0,00;260,00;3,00;0,00;1,00;0,00;2,00;0,00;229,00;92,00;4,00;8,00;12,00;13,00;0,00;2019
005 DP - Aclimação;2229,00;3,00;870,00;0,00;320,00;1,00;0,00;2,00;0,00;2,00;1,00;263,00;77,00;5,00;5,00;3,00;16,00;0,00;2020
005 DP - Aclimação;3295,00;5,00;1190,00;0,00;441,00;5,00;0,00;1,00;1,00;5,00;0,00;312,00;140,00;7,00;14,00;5,00;21,00;1,00;2019
006 DP - Cambuci;1627,00;7,00;769,00;0,00;456,00;3,00;0,00;1,00;0,00;3,00;0,00;243,00;85,00;2,00;3,00;11,00;78,00;0,00;2020
006 DP - Cambuci;2084,00;11,00;804,00;1,00;670,00;1,00;0,00;2,00;0,00;6,00;0,00;316,00;143,00;17,00;6,00;8,00;80,00;0,00;2019
007 DP - Lapa;2445,00;14,00;1132,00;2,00;581,00;3,00;0,00;1,00;0,00;4,00;0,00;151,00;121,00;9,00;4,00;7,00;67,00;0,00;2020
007 DP - Lapa;3485,00;15,00;1315,00;0,00;1090,00;10,00;0,00;3,00;0,00;9,00;0,00;185,00;141,00;11,00;9,00;8,00;108,00;1,00;2019
008 DP - Brás;3977,00;15,00;1194,00;0,00;277,00;7,00;0,00;3,00;1,00;7,00;0,00;276,00;137,00;12,00;5,00;6,00;51,00;0,00;2020
008 DP - Brás;4419,00;34,00;1276,00;0,00;364,00;6,00;0,00;10,00;0,00;6,00;1,00;310,00;196,00;16,00;4,00;11,00;54,00;0,00;2019
009 DP - Carandiru;2771,00;54,00;1238,00;0,00;406,00;5,00;0,00;3,00;0,00;1,00;0,00;182,00;131,00;41,00;8,00;10,00;98,00;0,00;2020
009 DP - Carandiru;3973,00;39,00;1443,00;0,00;733,00;6,00;0,00;7,00;0,00;3,00;0,00;238,00;186,00;45,00;9,00;12,00;90,00;0,00;2019
01 DP Pessoa com Deficiência;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;2020
01 DP Pessoa com Deficiência;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;1,00;1,00;0,00;0,00;2019
010 DP - Penha de França;1514,00;18,00;1192,00;1,00;467,00;6,00;0,00;6,00;1,00;11,00;0,00;349,00;172,00;15,00;4,00;16,00;142,00;0,00;2020
010 DP - Penha de França;2049,00;34,00;1263,00;1,00;959,00;1,00;0,00;4,00;0,00;3,00;0,00;362,00;220,00;21,00;13,00;27,00;176,00;0,00;2019
011 DP - Santo Amaro;3071,00;10,00;1846,00;0,00;388,00;1,00;0,00;6,00;0,00;8,00;1,00;255,00;177,00;53,00;4,00;4,00;145,00;1,00;2020
011 DP - Santo Amaro;4918,00;6,00;2185,00;1,00;679,00;5,00;0,00;7,00;2,00;12,00;0,00;264,00;246,00;41,00;16,00;7,00;187,00;1,00;2019
012 DP - Pari;5947,00;59,00;1849,00;0,00;288,00;17,00;0,00;4,00;1,00;9,00;0,00;314,00;140,00;24,00;9,00;11,00;57,00;1,00;2020
012 DP - Pari;7180,00;144,00;2037,00;2,00;310,00;6,00;0,00;1,00;0,00;9,00;0,00;351,00;226,00;15,00;15,00;3,00;73,00;1,00;2019
013 DP - Casa Verde;2211,00;17,00;1123,00;0,00;504,00;4,00;0,00;3,00;0,00;4,00;0,00;221,00;138,00;10,00;17,00;13,00;131,00;1,00;2020
